Brand,AnnualDemand,AvgPurchasePrice,HoldingCost,OrderingCost,EOQ,OrdersPerYear,TotalOrderingCost,TotalHoldingCost,TotalInventoryCost
33149,3459,4.79,0.9580000000000001,150,1041,4,600,498.639,1098.6390000000001
3505,3415,13.76,2.7520000000000002,150,610,6,900,839.36,1739.3600000000001
39335,3415,8.75,1.75,150,765,5,750,669.375,1419.375
8171,3412,0.71,0.142,150,2685,2,300,190.635,490.635
3826,3371,15.74,3.148,150,567,6,900,892.4580000000001,1792.458
3625,3370,12.59,2.5180000000000002,150,634,6,900,798.2060000000001,1698.2060000000001
3804,3308,7.63,1.526,150,806,5,750,614.9780000000001,1364.978
6937,3296,6.75,1.35,150,856,4,600,577.8000000000001,1177.8000000000002
33874,3291,6.62,1.324,150,864,4,600,571.9680000000001,1171.968
11826,3270,4.72,0.944,150,1019,4,600,480.96799999999996,1080.9679999999998
8023,3211,3.28,0.656,150,1212,3,450,397.536,847.5360000000001
3253,3133,9.08,1.816,150,719,5,750,652.852,1402.8519999999999
8130,3128,0.93,0.18600000000000003,150,2246,2,300,208.87800000000004,508.87800000000004
2704,3126,0.78,0.15600000000000003,150,2452,2,300,191.25600000000003,491.25600000000003
1385,3122,20.45,4.09,150,479,7,1050,979.555,2029.5549999999998
4113,3110,0.74,0.148,150,2511,2,300,185.814,485.81399999999996
8082,3099,21.73,4.346,150,463,7,1050,1006.099,2056.099
3276,3090,9.62,1.924,150,694,5,750,667.6279999999999,1417.628
11828,3085,3.97,0.794,150,1080,3,450,428.76000000000005,878.76
2443,3050,13.48,2.696,150,583,6,900,785.884,1685.884
3783,3050,1.5,0.30000000000000004,150,1746,2,300,261.90000000000003,561.9000000000001
3423,3048,21.25,4.25,150,464,7,1050,986.0,2036.0
29248,3013,6.53,1.306,150,832,4,600,543.296,1143.296
5676,3009,1.42,0.284,150,1783,2,300,253.18599999999998,553.1859999999999
2432,2994,17.59,3.5180000000000002,150,505,6,900,888.2950000000001,1788.295
2663,2984,21.42,4.284000000000001,150,457,7,1050,978.8940000000001,2028.8940000000002
22899,2968,6.53,1.306,150,826,4,600,539.378,1139.3780000000002
13665,2948,8.96,1.7920000000000003,150,703,5,750,629.8880000000001,1379.8880000000001
3300,2932,0.71,0.142,150,2489,2,300,176.719,476.719
3696,2928,7.6,1.52,150,760,4,600,577.6,1177.6
