VendorName,Total_Quantity,Total_Spent,Num_Orders,Avg_LeadTime,Std_LeadTime,Min_LeadTime,Max_LeadTime,Avg_Cost_Per_Unit,LeadTime_CV,DeliveryScore
PSP WINES ,16493,128895.69,1299,7.98306389530408,2.1061264010813354,3.0,14.0,7.815175529012309,0.26382431967258,37.1
BULLY BOY DISTILLERS       ,5382,117928.22,741,7.2604588394062075,2.435306585947705,3.0,14.0,21.911597918989223,0.33542047958870813,31.1
NICHE W & S                ,9277,111031.77,788,7.069796954314721,2.350257810485212,3.0,13.0,11.968499514929396,0.33243639466206193,32.2
SEA BREEZE CELLARS LLC     ,8473,108948.09,591,7.353637901861252,2.172669091354483,3.0,12.0,12.8582662575239,0.2954550006881039,35.7
KLIN SPIRITS LLC           ,6840,103484.29,1335,8.068913857677902,2.123202992731987,3.0,13.0,15.129282163742689,0.263133679474304,36.9
VINEXTRA INC               ,8530,102639.51,805,7.6546583850931675,2.070281012679816,3.0,14.0,12.032767878077374,0.2704602751066621,37.6
ZORVINO VINEYARDS          ,10550,86122.71,886,7.918735891647856,2.218603669435434,3.0,13.0,8.163290047393366,0.2801714440022512,35.4
PREMIER DISTRIBUTORS       ,5916,84530.87,901,7.927857935627081,2.2920904494989225,3.0,14.0,14.288517579445571,0.28911850692965546,34.2
ADAMBA IMPORTS INTL INC    ,4732,76770.25,626,7.605431309904153,2.11642775772624,3.0,13.0,16.223636939983095,0.27827846593921995,36.8
Dunn Wine Brokers          ,5448,72055.3,313,8.015974440894569,2.1083777697218924,3.0,13.0,13.226009544787079,0.2630220175061588,37.1
MOONLIGHT MEADERY          ,7967,71357.59,681,7.083700440528634,2.478207688113788,3.0,14.0,8.9566449102548,0.3498464833344713,30.1
SMOKY QUARTZ DISTILLERY LLC,3197,69803.71,276,7.547101449275362,2.4778199224020376,3.0,13.0,21.834128870816393,0.32831411357799445,30.9
PARK STREET IMPORTS LLC    ,4349,69459.42,444,8.01126126126126,1.9374785769986926,3.0,14.0,15.97135433432973,0.2418443880200786,39.7
"PREMIUM PORT WINES, INC.   ",8167,59760.740000000005,692,7.460982658959537,2.1015969848710228,3.0,13.0,7.317342965593242,0.281678309806459,36.9
JEWELL TOWNE VINEYARDS     ,6630,54332.37,582,7.8951890034364265,2.302661234180342,3.0,13.0,8.194927601809955,0.2916537188885656,34.0
