Brand,Revenue,Quantity,Transactions,Revenue %,Cumulative %,Category
5676,5987.91,3009,1013,0.01806886806887662,76.36008189217763,B
1099,5978.7,130,76,0.018041076356089633,76.37812296853372,B
43873,5975.17,83,52,0.018030424374967147,76.39615339290869,B
5134,5973.71,429,278,0.018026018739715356,76.4141794116484,B
43590,5967.55,345,186,0.018007430580022864,76.43218684222843,B
16441,5963.15,285,222,0.017994153323099654,76.45018099555153,B
1725,5960.86,314,253,0.0179872431143828,76.46816823866591,B
10443,5958.19,431,209,0.017979186233477124,76.48614742489939,B
5146,5954.99,301,234,0.017969530046623883,76.50411695494601,B
2183,5953.889999999999,311,269,0.017966210732393077,76.52208316567841,B
859,5952.57,243,184,0.017962227555316113,76.54004539323373,B
5694,5944.78,522,375,0.01793872077544525,76.55798411400917,B
5626,5927.07,593,422,0.01788527981632933,76.5758693938255,B
1867,5926.18,1982,769,0.017882594189360775,76.59375198801486,B
8016,5916.96,704,282,0.017854772300989866,76.61160676031585,B
43292,5914.08,592,292,0.01784608173282195,76.62945284204868,B
8386,5908.62,438,300,0.0178296058640036,76.64728244791269,B
15355,5897.48,324,137,0.017795990263520745,76.66507843817621,B
26181,5895.79,621,217,0.01779089058983888,76.68286932876605,B
26744,5887.09,491,282,0.01776463783183162,76.70063396659788,B
4176,5886.49,451,339,0.017762827296796638,76.71839679389467,B
8609,5884.15,585,326,0.017755766210160204,76.73615256010483,B
3945,5882.73,327,228,0.017751481277244074,76.75390404138207,B
8653,5877.19,1111,781,0.0177347640037544,76.77163880538582,B
46830,5869.5,610,340,0.0177115589797227,76.78935036436555,B
6396,5865.87,753,528,0.017700605242761052,76.80705096960831,B
28890,5861.09,391,257,0.01768618131364902,76.82473715092196,B
6285,5854.14,586,284,0.01766520928282713,76.84240236020479,B
2026,5848.919999999999,308,256,0.017649457628022773,76.86005181783281,B
19940,5838.47,453,273,0.017617924142830154,76.87766974197564,B
8452,5836.58,342,239,0.01761222095746996,76.89528196293311,B
31160,5835.099999999999,290,158,0.01760775497105033,76.91288971790416,B
6553,5827.71,429,331,0.01758545521453612,76.9304751731187,B
