Brand,AvgDailyDemand,StdDailyDemand,TotalDemand,AvgLeadTime,StdLeadTime,SafetyStock,ReorderPoint
24703,2.3125,2.0886598574205424,37,7.878787878787879,2.016628461691602,12,31
25253,4.625,8.29694436008135,37,7.3,1.4944341180973266,39,72
19242,37.0,0.0,37,7.620738941712323,2.2088896522065657,135,417
8337,1.9473684210526316,1.3933845369589317,37,7.0,2.0291986247835694,9,23
24580,2.3125,1.8874586088176875,37,7.883116883116883,1.9866265109610608,12,30
42385,9.25,5.5,37,6.758620689655173,1.9576803404210135,38,101
8237,1.9473684210526316,2.172394587917682,37,8.04,2.3383231389268717,13,28
2790,2.176470588235294,2.8773966992241236,37,8.126614987080103,2.2675886313707685,16,33
2781,2.642857142857143,3.95371573736253,37,9.179487179487179,2.426517917464999,22,47
13395,12.333333333333334,11.503622617824933,37,9.166666666666666,2.2495790852081776,73,187
18613,3.3636363636363638,2.8025961989814827,37,7.144736842105263,2.33068772321774,18,42
22854,2.176470588235294,3.358483551352587,37,6.909090909090909,2.165850662190053,17,32
3737,2.176470588235294,2.877396699224124,37,6.87037037037037,1.843359282707323,14,29
16468,1.9473684210526316,1.3529262199858298,37,8.28125,1.8532338779688904,9,25
44493,2.3125,1.352466881911223,37,8.181818181818182,2.1132697629287867,10,29
23172,2.8461538461538463,2.230327100305911,37,9.266666666666667,2.1201976547572383,15,41
12204,4.111111111111111,3.2956199888808646,37,8.045454545454545,2.419706253861893,23,56
31195,3.3636363636363638,3.2022719207689803,37,8.053571428571429,2.3696539283742974,20,47
35123,1.85,1.0399898784932577,37,7.333333333333333,1.865252440466616,7,21
2512,1.608695652173913,1.1575495447783652,37,7.51685393258427,2.2226993287953687,8,20
3408,2.0555555555555554,2.208865085812228,37,7.5,2.5634797778466227,13,29
9116,3.0833333333333335,4.481443219916251,37,10.472222222222221,2.772168940544683,28,60
16860,1.7619047619047619,0.8890872794479688,37,7.612244897959184,2.7219503311857434,9,22
44912,1.608695652173913,1.196173080923364,37,7.276595744680851,2.1639549908882567,8,20
17024,2.642857142857143,2.7902892835178013,37,7.723404255319149,2.2136152572066408,16,36
14684,2.8461538461538463,2.192645048267573,37,8.144927536231885,2.224696689959969,15,38
5468,1.85,1.2258187382102497,37,8.583333333333334,2.1159378493840832,9,25
16782,2.0555555555555554,1.3920878193318216,37,8.796875,2.0172249325673692,10,28
8875,2.3125,1.6214705259938174,37,7.428571428571429,2.268574127382346,11,28
2990,1.6363636363636365,0.7895420339517227,36,7.481481481481482,2.11023995961484,7,19
18744,18.0,8.48528137423857,36,7.946666666666666,1.8880372572289683,69,212
884,7.2,5.310367218940701,36,8.208333333333334,2.536330225836682,39,98
788,36.0,0.0,36,10.0,2.2088896522065657,131,491
23366,2.1176470588235294,1.4526851405748802,36,7.074074074074074,2.0544645526713494,10,25
24418,2.4,1.2421180068162376,36,6.215686274509804,2.100606821756,10,25
22007,2.25,2.9552213679068666,36,7.672413793103448,1.7002366299139509,15,32
25557,1.894736842105263,0.936585811581694,36,7.393258426966292,1.9978282386363824,8,22
26876,18.0,16.97056274847714,36,9.25,1.8929694486000912,102,269
24557,3.6,4.526465385804788,36,8.375,2.199837656347785,25,55
15076,1.894736842105263,1.1969747440993466,36,7.964912280701754,2.1041193634723645,9,24
2096,1.7142857142857142,0.7837638128197257,36,7.0,1.0,4,16
21252,36.0,0.0,36,7.6,1.5165750888103102,90,364
21260,18.0,8.48528137423857,36,8.0,1.0,49,194
46590,4.5,8.70139561876632,36,7.666666666666667,2.179449471770337,43,77
8720,2.0,1.137592917989042,36,7.86,2.0102797043685037,8,24
25643,1.8,1.5423836644690752,36,7.555555555555555,2.2458907269127555,10,23
22043,18.0,8.48528137423857,36,8.4,2.503331114069145,85,236
13552,2.5714285714285716,3.13084617990054,36,7.882352941176471,1.5128681546902678,16,36
21975,18.0,8.48528137423857,36,8.0,1.4142135623730951,58,202
38853,18.0,8.48528137423857,36,8.4375,1.824600412875835,68,220
21960,36.0,0.0,36,8.333333333333334,1.632993161855452,97,397
19316,12.0,0.0,36,9.181818181818182,1.8340219092574557,36,146
35747,2.25,1.653279569018299,36,7.794520547945205,1.8405834228248044,10,28
13619,1.8,0.7677718959499146,36,7.645833333333333,1.9731127080998816,7,21
17473,1.894736842105263,1.0485300208760657,36,7.170731707317073,2.2237630159752886,8,22
3892,3.272727272727273,4.173509532537552,36,6.5,2.1213203435596424,21,42
11366,2.0,1.3284223283101428,36,8.344827586206897,2.056668436445521,9,26
28223,1.894736842105263,1.5236920380774408,36,7.552486187845304,2.348464487957408,10,24
15362,18.0,8.48528137423857,36,5.285714285714286,2.3603873774083297,77,172
2982,2.1176470588235294,1.9000773978043788,36,7.104651162790698,2.306150700485892,12,27
42753,18.0,8.48528137423857,36,8.0,2.5,84,228
16869,2.1176470588235294,2.7359265556017873,36,7.0,0.0,12,27
24812,12.0,0.0,36,8.272727272727273,1.9021518914592015,38,137
14413,12.0,0.0,36,8.588235294117647,2.0934070175616757,41,145
37152,2.25,1.8073922282301278,36,8.545454545454545,1.7693732840138112,11,30
27488,12.0,6.0,36,7.5,1.977818168053462,48,138
1740,1.894736842105263,0.8752610304046612,36,8.32258064516129,2.196771825113592,8,24
22919,2.0,2.1962534944228786,36,7.142857142857143,1.9272482233188633,12,26
8289,1.894736842105263,1.5236920380774408,36,6.975903614457831,1.584805163176432,8,22
21419,12.0,0.0,36,8.307692307692308,1.407671290301277,28,128
6891,18.0,8.48528137423857,36,8.045454545454545,1.863873915807068,68,213
3185,1.7142857142857142,1.0071175275436894,36,8.4,1.949358868961793,7,22
6754,12.0,6.0,36,7.871794871794871,2.3190230154719895,54,148
7874,18.0,8.48528137423857,36,6.769230769230769,1.5358952955766088,58,180
19831,4.0,7.937253933193772,36,8.45514511873351,1.9727251614952568,40,74
19989,18.0,8.48528137423857,36,8.27699530516432,1.6748095878750613,64,213
